序号,户型-房间,户型-厅,户型-厨房,户型-卫生,建筑面积,朝向,装修,电梯,总楼层,所处层数,建筑类型,建筑结构,小区,经度,纬度,地址,建筑时间,价格（万）
154,3,2,1,2,129.08,南 北,精装,有,中,14,板楼,一梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,490
155,1,1,1,1,56.35,南,精装,有,高,10,板楼,一梯四户,绿地诺丁山(公寓),121.192921,31.054567,文宇路88弄,2010,229
156,2,1,1,1,62.84,南,精装,有,低,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,276
157,2,2,1,1,88.38,南,毛坯,无,高,5,板楼,一梯两户,文翔名苑(公寓),121.198601,31.052462,文翔路3088弄,2006,295
158,2,2,1,1,78,南,精装,有,低,17,板楼,一梯两户,首创锦悦,121.22517,31.072295,"云恩路58弄, 云恩路59弄",2013,285
159,3,2,1,2,134.07,南,精装,有,中,16,板楼,两梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,550
160,1,2,1,1,59.52,南,精装,有,高,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,263
161,1,1,1,1,65.62,南,精装,有,中,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,280
162,3,1,1,1,105.45,南,精装,有,低,14,板楼,两梯四户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,489
163,2,2,1,2,99.63,南,简装,有,中,17,板楼,两梯三户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,400
164,2,2,1,1,90.48,南,精装,有,低,14,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,370
165,1,1,1,1,51.94,南,精装,有,低,11,板楼,一梯四户,恒杰丁香花园,121.193758,31.050438,三新北路1333弄,2007,183
166,1,1,1,1,59.7,南,精装,有,高,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,265
167,3,2,1,2,151.22,东,简装,有,中,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,600
168,3,2,1,2,138.91,南 北,精装,有,中,24,板楼,两梯三户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,415
169,3,2,1,2,133.84,南,精装,有,低,21,板楼,两梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,530
170,2,1,0,1,64,南,精装,有,中,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,275
171,1,1,1,1,63.84,南,简装,有,低,12,板楼,一梯三户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,282
172,1,1,1,1,65.24,南,其他,有,高,18,板楼,两梯四户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,315
173,2,2,1,1,93.37,南,简装,有,中,11,板楼,一梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,385
174,1,1,1,1,64.15,南,简装,有,低,27,板楼,两梯十一户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,249
175,2,2,1,1,94,南 北,其他,有,低,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,390
176,1,1,1,1,61.07,东,简装,有,高,8,板楼,一梯五十户,三湘四季财富广场,121.2367323,31.0600402,梅家浜路1500弄39号,2012,245
177,3,2,1,2,88.85,南,精装,有,低,20,塔楼,两梯十二户,龙湖好望山(公寓),121.231755,31.061914,"人民北路2908弄, 云清路41号",2012,370
178,3,2,1,2,140.93,南 北,精装,有,低,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,450
179,3,2,1,2,135.26,南,精装,有,低,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,594.5
180,3,2,1,1,123.1,南 北,精装,有,低,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,575
181,4,2,1,2,169.7,东,精装,有,高,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,700
182,1,1,1,1,59.52,南,简装,有,高,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,269
183,1,1,1,1,59.7,南,精装,有,低,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,265
184,2,2,1,2,99.63,南,精装,有,中,17,板楼,两梯三户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,420
185,3,2,1,1,92.23,南 北,精装,有,低,11,板楼,一梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,390
